iter	Passed	Remaining
413	3494	4946
414	3503	4938
415	3511	4929
416	3520	4921
417	3528	4913
418	3537	4904
419	3544	4894
420	3552	4885
421	3560	4876
422	3568	4867
423	3576	4858
424	3584	4850
425	3593	4842
426	3600	4832
427	3609	4823
428	3617	4814
429	3625	4805
430	3633	4797
431	3642	4788
432	3650	4779
433	3659	4772
434	3668	4764
435	3676	4756
436	3684	4747
437	3693	4738
438	3701	4730
439	3709	4721
440	3718	4713
441	3726	4704
442	3736	4697
443	3745	4689
444	3753	4681
445	3762	4672
446	3770	4664
447	3778	4656
448	3787	4647
449	3796	4639
450	3804	4631
451	3813	4623
452	3821	4614
453	3829	4605
454	3838	4597
455	3846	4588
456	3855	4580
457	3863	4572
458	3871	4563
459	3880	4554
460	3888	4546
461	3896	4537
462	3905	4529
463	3913	4521
464	3922	4513
465	3931	4505
466	3940	4497
467	3948	4488
468	3957	4480
469	3965	4471
470	3974	4463
471	3982	4454
472	3990	4446
473	3999	4437
474	4007	4429
475	4017	4422
476	4025	4414
477	4034	4405
478	4042	4396
479	4050	4388
480	4059	4379
481	4067	4371
482	4075	4362
483	4084	4354
484	4093	4346
485	4103	4339
486	4112	4331
487	4121	4323
488	4130	4316
489	4139	4308
490	4147	4299
491	4156	4291
492	4164	4283
493	4173	4274
494	4181	4266
495	4190	4257
496	4196	4247
497	4205	4239
498	4214	4231
499	4223	4223
500	4232	4215
501	4240	4207
502	4249	4198
503	4257	4189
504	4265	4181
505	4274	4172
506	4281	4163
507	4290	4155
508	4300	4147
509	4308	4139
510	4316	4130
511	4325	4122
512	4333	4114
513	4342	4105
514	4351	4097
515	4360	4089
516	4368	4081
517	4377	4073
518	4385	4064
519	4393	4055
520	4401	4047
521	4410	4038
522	4419	4030
523	4427	4022
524	4436	4014
525	4445	4006
526	4453	3997
527	4461	3988
528	4469	3979
529	4478	3971
530	4487	3963
531	4495	3954
532	4504	3946
533	4513	3938
534	4522	3930
535	4530	3921
536	4539	3913
537	4548	3905
538	4556	3897
539	4565	3889
540	4574	3881
541	4582	3872
542	4590	3863
543	4598	3854
544	4607	3846
545	4615	3837
546	4623	3829
547	4631	3820
548	4640	3812
549	4649	3803
550	4657	3795
551	4665	3786
552	4673	3778
553	4682	3769
554	4690	3761
555	4698	3752
556	4707	3743
557	4717	3736
558	4726	3728
559	4734	3720
560	4742	3711
561	4751	3703
562	4760	3694
563	4768	3686
564	4776	3677
565	4785	3669
566	4793	3660
567	4801	3652
568	4810	3643
569	4818	3635
570	4826	3626
571	4834	3617
572	4843	3609
573	4852	3601
574	4861	3593
575	4869	3584
576	4878	3576
577	4887	3568
578	4895	3559
